source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_n_cells,target_n_cells,min_source_target_n_cells
Goblet cells,B cell memory,TFF3,CXCR4,3.2598538,0.0,8.083971,2.2886846,3.3482137,0.023195885,0.9818535,0.0001378377563331,6.67967215636398e-10,9555,5004,5004
Goblet cells,B cell naive,TFF3,CXCR4,3.1628096,0.0,7.1417823,2.1422982,3.1650596,0.0204924,0.9807159,0.0007115764330633,2.671853516943239e-09,9555,3019,3019
Goblet cells,Th effector,TFF3,CXCR4,3.0326104,0.0,5.8776965,1.9459035,3.0240648,0.016865272,0.978785,0.0017324866642253,6.0116358855169915e-09,9555,1258,1258
Goblet cells,Tc,TFF3,CXCR4,2.9552398,0.0,5.126516,1.8291712,2.9027941,0.014709859,0.97731787,0.0032982135683198,1.6698796750851116e-08,9555,6712,6712
Goblet cells,Th memory,TFF3,CXCR4,2.9510353,0.0,5.085695,1.8228557,2.9222307,0.014592729,0.97722906,0.0034400383252805,3.272926566441052e-08,9555,8461,8461
Goblet cells,B cell germinal center,TFF3,CXCR4,2.883996,0.0,4.434819,1.7217147,2.806785,0.012725128,0.97565454,0.0062001745367404,2.411112359137167e-07,9555,1063,1063
Goblet cells,ILC3,TFF3,CXCR4,2.8654628,0.0,4.2548842,1.693758,2.8127408,0.012208828,0.9751578,0.007323991480533,5.23605088131282e-07,9555,23,23
Macrophages proliferating,Stem cells,C1QB,C1QBP,2.4616704,0.0,5.493176,3.1904888,3.2680082,0.026498625,0.97807103,0.0002069417826995,6.41805890797617e-07,127,2790,127
Macrophages proliferating,T cells proliferating,HLA-B,CD3D,2.326663,0.0,5.1191673,1.3874354,1.6297352,0.0040670307,0.97730196,0.039502323917205,1.0685081536215249e-06,127,40,40
Macrophages proliferating,Th17,HLA-B,CD3D,2.299388,0.0,4.962661,1.3483101,1.6056666,0.0039426913,0.976955,0.039502323917205,1.4130533262225973e-06,127,3171,127
Goblet cells,Tfh,TFF3,CXCR4,2.8458705,0.0,4.064664,1.6642004,2.733988,0.011663014,0.97459775,0.0088445396973551,1.4130533262225973e-06,9555,1216,1216
Macrophages proliferating,TA cells,C1QB,C1QBP,2.2735505,0.0,4.2837787,2.9014115,2.922879,0.020664591,0.97523963,0.0006893836066068,1.603347147247987e-06,127,5824,127
Plasma cell cycling,T cells proliferating,HLA-B,CD3D,2.2644558,0.0,4.8971786,1.3303413,1.3911657,0.0038906673,0.976805,0.039502323917205,1.8056542960940865e-06,72,40,40
Stem cells,B cell memory,HMGB1,CXCR4,2.25298,0.0,4.730524,1.962341,2.3757706,0.0063504716,0.9764095,0.0155245495291704,2.0199741512639995e-06,2790,5004,2790
Goblet cells,Macrophages LYVE1,TFF3,CXCR4,2.8223765,0.0,3.8365657,1.6287619,2.6470406,0.011008518,0.97387296,0.0109410255148694,2.403867124806071e-06,9555,48,48
Plasma cell cycling,Th17,HLA-B,CD3D,2.2371807,0.0,4.747459,1.291216,1.3670971,0.0037717195,0.9764506,0.0399966420508256,2.7350037397476685e-06,72,3171,72
Macrophages FOLR2,Stem cells,C1QB,C1QBP,2.2150235,0.0,4.650181,2.8323922,3.2778163,0.022432085,0.9762114,0.0002756719502767,3.958648924057499e-06,6473,2790,2790
Macrophages proliferating,Macrophages proliferating,HLA-DRA,CD4,2.5520146,0.0,3.5869865,2.945897,2.7639904,0.015644744,0.9730033,0.0020218375489011,4.06211530902103e-06,127,127,127
Goblet cells,Treg,TFF3,CXCR4,2.7936156,0.0,3.5573292,1.5853767,2.6692343,0.010207285,0.9728941,0.0126661691267634,4.4893220853771074e-06,9555,449,449
Colonocytes DUOX2,T cells proliferating,HLA-B,CD3D,2.2063246,0.0,4.689736,1.2769933,1.3353574,0.00372586,0.9763096,0.0418634216925387,4.823734821455917e-06,4757,40,40
Stem cells,T cells proliferating,HLA-B,CD3D,2.187684,0.0,4.623216,1.2598836,1.378943,0.0036730126,0.9761438,0.0440191704530939,6.67587411978153e-06,2790,40,40
Goblet cells,cDC2,TFF3,CXCR4,2.7808394,0.0,3.4332886,1.5661025,2.6621325,0.009851367,0.9724222,0.0130786892766948,6.810020054466737e-06,9555,203,203
Colonocytes DUOX2,Th17,HLA-B,CD3D,2.1790497,0.0,4.546358,1.2378681,1.3112888,0.003611951,0.9759478,0.0467010506017558,7.220459469920649e-06,4757,3171,3171
Macrophages IFN-activated,Macrophages proliferating,TNFSF13B,HLA-DPB1,2.1623738,0.0,3.4662697,3.2936392,2.9117975,0.01702053,0.97255003,0.0014247654868136,9.294525599631546e-06,818,127,127
Stem cells,Th17,HLA-B,CD3D,2.1604092,0.0,4.4818726,1.2207583,1.3548743,0.003560719,0.9757796,0.0489485140893826,9.612153849115965e-06,2790,3171,2790
Stem cells,B cell naive,HMGB1,CXCR4,2.1559358,0.0,4.17918,1.8159546,2.1926162,0.005610322,0.9749394,0.0255319437623087,1.0597034178475908e-05,2790,3019,2790
Macrophages proliferating,Tc effector,HLA-B,CD3D,2.1549168,0.0,4.1336675,1.1412905,1.4879341,0.0032840797,0.9748053,0.0651645546747316,1.0935992201407362e-05,127,13119,127
Goblet cells,Monocytes,TFF3,CXCR4,2.7632473,0.0,3.2624865,1.5395635,2.603158,0.009361274,0.97172964,0.0155531380326605,1.1806714281511315e-05,9555,767,767
Th17,T cells proliferating,HLA-B,CD3D,2.1453722,0.0,4.4722247,1.2210431,1.0155509,0.003553054,0.9757541,0.0493401867242883,1.2527283935520183e-05,3171,40,40
Stem cells,Macrophages proliferating,APP,CD74,2.4643095,0.0,3.2152772,1.870171,2.391287,0.010786396,0.9715287,0.0118422304297127,1.271075837802539e-05,2790,127,127
Macrophages FOLR2,Macrophages proliferating,HLA-DRA,CD4,2.3292036,0.0,3.2119868,2.7681408,2.7169483,0.014009172,0.9715146,0.0024797482465058,1.2895565586094976e-05,6473,127,127
Th effector,T cells proliferating,HLA-B,CD3D,2.13878,0.0,4.4487014,1.2149926,0.980779,0.0035343654,0.9756917,0.0503840472558331,1.3839592304264592e-05,1258,40,40
Macrophages proliferating,Treg,HLA-B,CD3D,2.126052,0.0,3.9680374,1.0997941,1.35673,0.0031524915,0.9742982,0.0748583475306515,1.6660097382173956e-05,127,449,127
Goblet cells,Th naive,TFF3,CXCR4,2.748333,0.0,3.1176875,1.5170678,2.5575442,0.008945792,0.9710993,0.0178890596405337,1.7084345035337037e-05,9555,1182,1182
T cells proliferating,T cells proliferating,HLA-B,CD3D,2.1252966,0.0,4.4005847,1.2026207,1.0638199,0.0034961381,0.97556233,0.0524251962740271,1.7084345035337037e-05,40,40,40
Th17,Th17,HLA-B,CD3D,2.1180973,0.0,4.3354974,1.1819178,0.99148214,0.0034444279,0.9753841,0.0551795398452828,1.861117677646617e-05,3171,3171,3171
Plasma cell,T cells proliferating,HLA-B,CD3D,2.116414,0.0,4.368887,1.1945019,1.3067658,0.003470955,0.975476,0.0536966728083938,1.9971841819869945e-05,21820,40,40
Th effector,Th17,HLA-B,CD3D,2.1115055,0.0,4.312693,1.1758673,0.95671034,0.0034263108,0.9753207,0.0561822263057015,2.0436052759229605e-05,1258,3171,1258
Monocytes,T cells proliferating,HLA-B,CD3D,2.0981603,0.0,4.3037477,1.1777151,1.124713,0.0034192037,0.9752957,0.056574099594196,2.210274512585113e-05,767,40,40
T cells proliferating,Th17,HLA-B,CD3D,2.0980217,0.0,4.266047,1.1634954,1.0397513,0.0033892521,0.9751895,0.0582314204402891,2.2590929064953587e-05,40,3171,40
Plasma cell cycling,Tc effector,HLA-B,CD3D,2.0927095,0.0,3.9544141,1.0841964,1.2493646,0.0031416682,0.974255,0.0758254699493065,2.383469337744959e-05,72,13119,72
Macrophages IFN-activated,Macrophages proliferating,HLA-DRA,CD4,2.2120798,0.0,3.0148628,2.6747274,2.336367,0.0131494105,0.970625,0.0027651956521333,2.4341520404957465e-05,818,127,127
Plasma cell,Th17,HLA-B,CD3D,2.0891392,0.0,4.2353187,1.1553766,1.2826971,0.003364839,0.9751019,0.0599248903725826,2.4341520404957465e-05,21820,3171,3171
Neutrophils,T cells proliferating,HLA-B,CD3D,2.088406,0.002,4.26894,1.1687627,0.80208284,0.0033915502,0.9751977,0.2477851029771737,2.4596931248604105e-05,5,40,5
Macrophages proliferating,Macrophages proliferating,HLA-DRB1,CD4,2.211085,0.0,3.0131886,3.066311,2.7985368,0.018591184,0.97061706,0.0010976393834647,2.4853673614821347e-05,127,127,127
cDC2,Macrophages proliferating,HLA-DRA,CD4,2.2072217,0.0,3.0066864,2.6708536,2.2569509,0.013113748,0.97058624,0.0027959022364299,2.56318896187126e-05,203,127,127
Goblet cells,Tc naive,TFF3,CXCR4,2.7361295,0.0,2.9992054,1.4986573,2.5062356,0.008605823,0.97055066,0.0211850825904915,2.642208849707668e-05,9555,406,406
Macrophages proliferating,Th effector,HLA-B,CD3D,2.0854707,0.0,3.7351785,1.0416051,1.2649463,0.0029674917,0.97353,0.0915033423884449,2.6688150876772792e-05,127,1258,127
Goblet cells,B cell cycling,TFF3,CXCR4,2.7358286,0.0,2.9962842,1.4982028,2.5685167,0.008597441,0.9705367,0.0174769128328978,2.6688150876772792e-05,9555,224,224
Tc effector,T cells proliferating,HLA-B,CD3D,2.078754,0.0,4.234496,1.1599237,0.89301986,0.003364185,0.9750995,0.0599957514886608,2.9142619760880918e-05,13119,40,40
Tc,T cells proliferating,HLA-B,CD3D,2.07623,0.0,4.2254887,1.1575793,0.88859683,0.003357029,0.97507364,0.0605708551974081,2.9702700325323504e-05,6712,40,40
Th memory,T cells proliferating,HLA-B,CD3D,2.0748515,0.0,4.22057,1.1563339,0.91172844,0.0033531215,0.9750595,0.0607972769168961,2.99847372468854e-05,8461,40,40
Macrophages proliferating,Th memory,HLA-B,CD3D,2.0748236,0.0,3.6740837,1.0263873,1.2923481,0.0029189538,0.97331667,0.0963394402569115,3.0268105230649826e-05,127,8461,127
Macrophages FOLR2,T cells proliferating,HLA-B,CD3D,2.073955,0.0,4.21737,1.1554897,1.1980121,0.0033505792,0.9750503,0.0610004023151687,3.112619532497419e-05,6473,40,40
